Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
FB,8.51E-05,10583.23077,825492,263.16,0.007637939,259.9881,260.03054,266.25753,0.025589248,0.027333943,-0.007936395,0.020892553
FB,0.000204643,18860.60256,1471127,281.44,0.020892553,276.10905,270.56282,265.40326,0.03886852,0.06120974,0.033302473,0.009833145
FB,0.000117319,19064.02564,1486994,291.87,0.009833145,288.3648,287.92112,275.282275,0.024736722,0.026981279,0.042003213,-0.000885378
FB,-4.99E-05,16668.58974,1300150,293.66,-0.000885378,293.92875,295.1553,287.731065,-0.004401577,-0.006555871,0.016989702,-0.039502043
FB,-0.000409251,17793.08974,1387861,289.985,-0.039502043,290.30715,291.87166,292.819995,-0.02598937,-0.022560806,-0.008089287,-0.003292362
FB,-0.000106892,27194.46154,2121168,273.36,-0.003292362,279.8651,283.56784,289.7668,-0.027856635,-0.043395048,-0.030548272,0.011483324
FB,5.43E-05,10281.30769,801942,273.44,0.011483324,272.9494,271.55776,280.45219,0.009883151,0.01457318,-0.01969678,-0.007215528
FB,-7.70E-05,9238.74359,720622,277.18,-0.007215528,275.94225,275.66682,274.78766,-0.001407903,0.00362394,0.002437409,-0.001548434
FB,7.64E-05,6479.32,485949,277.7,-0.001548434,275.54825,276.63812,275.48243,0.000664131,-0.003344152,0.002375378,0.008456201
FB,8.19E-05,25335.95313,1621501,276.72,0.008456201,275.8209,275.70026,276.13022,0.007356585,0.005880444,0.001755458,-0.008114834
FB,-5.83E-05,20958.98718,1634801,277.27,-0.008114834,277.7665,277.2999,276.26409,-0.007346098,-0.006116483,-0.001153262,-0.00813453
FB,-0.000174562,7068.320513,551329,274.14,-0.00813453,275.50805,275.59622,275.95059,-0.005866616,-0.004387651,-0.001641055,0.007860069
FB,7.50E-05,7786.269231,607329,270.99,0.007860069,273.2878,273.98832,275.360395,-0.001546172,-0.005779151,-0.005572279,-0.010238908
FB,-3.28E-05,6973.858974,543961,272.49,-0.010238908,273.04975,272.5263,273.78246,-0.004771109,-0.003317845,-0.005830834,-0.00901034
FB,-2.88E-05,20683.12821,1613284,270.8,-0.00901034,271.471,271.5854,272.13083,-0.010059086,-0.013254763,-0.007529669,0.031211591
FB,0.000308413,12127.44872,945941,268.49,0.031211591,268.7315,268.2103,270.010625,0.029522963,0.027003437,0.003707539,-0.009060837
FB,-7.09E-05,6834.794872,533114,278.12,-0.009060837,276.9048,275.67812,271.124405,-0.003944677,-0.000313482,0.008754099,0.001658315
FB,6.18E-05,9460.142857,397326,277.39,0.001658315,275.95525,275.6991,273.595255,0.004348531,0.004818296,0.006557954,0.006018418
FB,5.57E-05,7807.102564,608954,275.82,0.006018418,276.8012,277.15288,275.613275,-0.003861797,-0.008843783,-0.001067819,0.026156437
FB,0.000331003,11662.24359,909655,279.09,0.026156437,276.55735,275.16404,275.42843,0.037408697,0.045750746,0.015966489,0.007674247
FB,9.14E-05,13959.73077,1088859,285.37,0.007674247,286.294,287.4974,279.935705,0.005055118,0.003114463,0.016347075,-0.015406114
FB,-0.000234008,6058.961538,472599,286.25,-0.015406114,287.62525,288.3155,284.56966,-0.016458221,-0.018198536,0.004700343,-0.00235462
FB,-9.97E-07,9316.435897,726682,280.3,-0.00235462,282.87145,283.03058,285.870685,-0.008920837,-0.00867991,-0.008186394,0.022457824
FB,0.0002917,7399.269231,577143,279.19,0.022457824,280.2725,280.5555,283.481535,0.019880652,0.019500241,-0.000386145,-0.009198699
FB,-0.000121152,6348.653846,495195,285.91,-0.009198699,285.73755,285.91952,283.428425,-0.005904194,-0.006596402,0.002533091,-0.019695661
FB,-8.86E-05,23789.14103,1855553,283.565,-0.019695661,283.833,283.96408,284.166475,-0.023491807,-0.019531273,-0.004350707,0.005589228
FB,1.48E-05,22022.30769,1717740,275.53,0.005589228,276.5515,277.2528,282.390825,0.000578554,-0.004140265,-0.011800932,-0.003533311
FB,6.39E-06,21306.12821,1661878,274.53,-0.003533311,276.62675,276.1479,278.893625,-0.011134137,-0.012267339,-0.013705136,0.002524236
FB,-3.56E-05,11255.47436,877927,273.35,0.002524236,273.30625,272.7678,274.9614,0.008233438,0.010038942,-0.001098336,0.002765346
FB,3.29E-05,16817.20513,1311742,274.83,0.002765346,275.372,275.427,274.6512,-0.005143951,-0.012789596,-0.004353431,0.002491861
FB,-1.60E-05,17565.83333,1370135,274.895,0.002491861,273.98575,272.0068,273.467575,0.005971113,0.014266923,0.002337114,-0.009311726
FB,-4.27E-05,18145.44872,1415345,277.07,-0.009311726,275.87075,275.9127,274.134625,-0.004822911,-0.000892674,0.004285413,0.00166842
FB,7.47E-05,10974.28205,855994,275.71,0.00166842,274.51625,275.557,275.40078,-0.001352379,-0.009869464,-0.001909671,-0.0000293
FB,0.000103353,9888.410256,771296,272.978,-2.93E-05,274.2835,272.9621,274.817705,-0.00642401,-0.00147493,-0.006868844,-0.016243094
FB,-0.000162319,10445.80769,814773,271.5,-0.016243094,272.31775,272.5241,272.867975,-0.020238306,-0.021832565,-0.009179348,0.003406071
FB,5.48E-05,22100.33333,1723826,267.17,0.003406071,266.789,266.6259,270.2439,0.011966385,0.014514719,-0.003156223,-0.006229661
FB,-0.000217255,5660.833333,237755,268.875,-0.006229661,269.8475,270.4703,269.3755,-0.011361047,-0.010385614,-0.004049273,0.030209457
FB,0.000401895,20437.08861,1614530,268.79,0.030209457,266.96225,267.6373,268.26825,0.035211907,0.029988346,0.009507089,-0.0000542
FB,1.48E-05,12295.39744,959041,276.795,-5.42E-05,276.431,275.7403,270.87015,0.007809363,0.00982011,0.012399761,-0.022314124
FB,-0.000249949,11519.96203,910077,278.075,-0.022314124,278.4685,278.4208,274.2661,-0.019999569,-0.018341302,0.006713918,0.004117042
FB,4.91E-05,10012.10256,780944,272.04,0.004117042,272.91375,273.2983,276.100375,-0.00339851,-0.00594003,-0.006744196,-0.02114188
FB,-0.000252603,10205.84615,796056,274.81,-0.02114188,272.03475,271.6805,274.20605,-0.011495774,-0.013120191,-0.01117169,0.009842666
FB,0.000135031,9479.717949,739418,268.22,0.009842666,268.848,268.1412,271.09403,0.00930935,0.010525126,-0.002871476,0.005382912
FB,0.000162278,19814.96154,1545567,261.94,0.005382912,265.38835,268.84396,269.7022,-0.002255562,-0.01291143,-0.006076906,0.011560476
FB,9.83E-05,10422.57692,812961,265.56,0.011560476,265.06975,265.379,267.97817,0.014577295,0.012242114,-0.00202593,-0.002683063
FB,-6.49E-05,10843.71795,845810,268.35,-0.002683063,268.90425,268.5622,267.392315,-0.009650275,-0.010616535,-0.002384567,-0.012724896
FB,-0.0001188,28534.15385,2225664,260.12,-0.012724896,264.88725,265.2676,266.6241,-0.028266744,-0.021260795,-0.011046282,-0.022290636
FB,-0.000321708,16146.35897,1259416,256.61,-0.022290636,257.40625,259.5834,263.630645,-0.022316863,-0.029518837,-0.020360968,0.000457302
FB,-2.18E-05,13341.60256,1040645,251.475,0.000457302,251.37045,251.83518,257.888415,0.002520384,-0.000613099,-0.016465959,-0.02967523
FB,-0.000397,23555.03797,1860848,253.41,-0.02967523,252.08675,251.7439,253.54706,-0.020936245,-0.016133857,-0.011216162,0.013794773
