Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change
AAPL,-6.79E-05,23763.79221,1829812,122.295,-0.003311664,120.51825,120.2619,119.9351,0.011915208,0.014188201,0.010458365
AAPL,8.57E-05,16097.03846,1255569,120.365,0.004777136,121.859,121.9185,121.1846,-0.009028878,-0.010036213,-0.001865542
AAPL,0.000162263,9970.621212,658061,122.59,0.010522881,121.9215,121.1903,121.117225,0.012493695,0.014779236,0.004566031
AAPL,-0.000134481,24604.9697,1623928,126.44,-0.006168934,125.30825,123.9801,121.94485,0.000931702,0.013553788,0.013507746
AAPL,0.000115482,20370.21212,1344434,123.45,0.009801539,124.128,124.983,123.759175,0.005774281,-0.010727059,0.004653392
AAPL,-0.000205732,23252.69697,1534678,122.175,-0.013218744,123.084,123.5024,124.3114,-0.017000585,-0.015361645,-0.00825769
AAPL,-2.88E-05,26045.28788,1718989,120.13,-0.001872971,120.4575,121.1265,122.922875,-0.002851628,-0.005972269,-0.010055085
AAPL,0.00013116,25645.77273,1692621,122.2,0.01002455,121.198,120.6747,121.6271,0.019239179,0.022358456,-2.06E-06
AAPL,-7.04E-05,21201.16667,1399277,123.13,-0.004345001,123.129,123.3509,121.6946,-0.002948128,-0.003122798,0.005984037
AAPL,-0.000163644,30709.93939,2026856,121.45,-0.011033347,121.9875,122.6361,122.483675,-0.010255149,-0.012703437,-9.41E-05
AAPL,4.31E-05,21501.86364,1419123,120.715,-0.000952657,120.70175,120.9095,122.306825,-0.001613481,-0.005866371,-0.008663662
AAPL,0.000138487,21367.77049,1303434,120.28,0.007482541,120.5315,120.3065,121.068725,-0.005799314,-0.00201901,-0.005670333
AAPL,-2.99E-05,19981.65152,1318789,121.14,-0.000825491,121.14825,120.424,120.386125,0.001797385,0.007895436,0.002141235
AAPL,7.54E-05,17202.74242,1135381,119.14,0.005791506,120.13125,120.9609,120.60625,-0.002624213,-0.00959897,-0.001224439
AAPL,-3.39E-05,22022.42424,1453480,122.76,-0.005131965,121.66675,120.5282,120.605025,0.007799995,0.019912352,0.005985033
AAPL,-7.54E-05,16754.40909,1105791,123.5,-0.00417004,123.13275,122.9765,121.46995,-0.003293194,-0.000839185,0.006590313
AAPL,4.64E-05,18773.33333,1239040,125.11,0.005595076,124.08675,123.2977,122.60125,0.013274987,0.019672711,0.011139976
AAPL,-2.84E-05,13121.45455,866016,126.39,-0.001186803,126.073,125.8969,124.16365,0.002639344,0.003745128,0.008873974
AAPL,8.07E-05,18293.92424,1207399,127.17,0.005818982,126.345,126.304,125.476375,0.00999446,0.008528629,0.00863828
AAPL,0.000102923,15192.62121,1002713,129.37,0.007807065,128.795,127.953,126.802275,0.010926278,0.015925379,0.009401054
AAPL,0.000199643,20892.86364,1378929,131.02,0.014883224,130.51975,130.2559,128.27945,0.014363727,0.014119898,0.013315461
AAPL,-7.24E-05,15513.43939,1023887,131.85,-0.004247251,132.183,132.2037,130.29695,-0.006810634,-0.005794845,0.007149438
AAPL,-2.74E-05,9100.25,546015,133.32,0.008288329,132.461,131.9308,131.439775,0.014893063,0.016391169,0.007819551
AAPL,-0.000136414,13819.13636,912063,133.57,-0.010668563,134.076,134.2266,132.621625,-0.012390361,-0.010348917,0.002337854
AAPL,-8.01E-05,12434.09091,820650,134.95,-0.003705076,133.7585,133.1667,133.1516,0.003958627,0.00876946,0.005216047
AAPL,1.32E-05,12531.39394,827072,134.22,-0.000633289,134.114,134.3027,133.851825,-0.000713945,-0.003014087,6.74E-05
AAPL,4.86E-05,14967.57576,987860,134.84,0.00037081,134.453,134.1381,134.003725,0.000159907,0.001940537,0.001734467
AAPL,-0.000164508,19928.38806,1335202,134.33,-0.011092087,134.76725,134.6211,134.274375,-0.016699161,-0.012846426,-0.002335703
AAPL,9.66E-05,11328.33333,747670,132.52,0.00731965,132.278,132.4876,133.77435,0.00786223,0.005354463,-0.003281459
AAPL,-0.000134577,17435.77273,1150761,133.655,-0.012532266,133.178,133.2429,133.161325,-0.007321029,-0.00347936,-0.001673909
AAPL,0.000128347,17108.06061,1129132,133.14,0.008750188,132.78825,132.4033,132.95895,0.015134999,0.017183106,0.004259209
AAPL,3.85E-05,9938.090909,655914,134.42,0.002083023,134.3995,134.6425,133.59385,0.003149193,-0.000184934,0.00258863
AAPL,-9.08E-05,10534.89394,695303,134.87,-0.003558983,134.73,134.7119,134.116325,-0.001018704,-0.00077573,0.003673863
AAPL,0.000166796,17403.28571,1340053,134.21,0.026525594,134.4235,134.5009,134.57945,0.006894256,0.000162824,-0.000833151
AAPL,-9.38E-05,27228.55882,1851542,134.315,-0.009641514,135.37625,135.6128,134.615575,-0.010241826,-0.014752295,-0.00211844
